2023-04-14 16:08:48.6343 | 0 | DEBUG | Program | [NLogger]: init main  | url:  | action:  | Program.<Main>$
2023-04-14 16:08:50.4429 | 14 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7014  | url:  | action:  | Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-04-14 16:08:50.4429 | 14 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5169  | url:  | action:  | Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-04-14 16:08:50.4429 | 0 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.  | url:  | action:  | Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-04-14 16:08:50.4429 | 0 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development  | url:  | action:  | Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-04-14 16:08:50.4429 | 0 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\מכללת סלע\פרוייקט סיום\FinalProject\Server  | url:  | action:  | Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-04-14 16:10:52.1636 | 0 | DEBUG | Server.DAL.DataContext | NLog injected into DataContext  | url: https://localhost/api/flights | action: Post | Server.DAL.DataContext..ctor
2023-04-14 16:10:52.1745 | 0 | DEBUG | Server.DAL.Repositories.AirportRepository | NLog injected into AirportRepository  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository..ctor
2023-04-14 16:10:52.2012 | 0 | DEBUG | WebAPI.Services.FlightsLogsHubContext | NLog injected into FlightsLogsHubContext  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext..ctor
2023-04-14 16:10:52.2012 | 0 | DEBUG | Server.Services.FlightsManagerService | NLog injected into FlightsManagerService  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService..ctor
2023-04-14 16:10:52.2012 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Loading legs...  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService..ctor
2023-04-14 16:10:52.2048 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to get legs list from database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.GetLegsAsync
2023-04-14 16:10:52.6526 | 0 | INFO | Server.DAL.DataContext | DataContext: Validating and creating data in database...  | url: https://localhost/api/flights | action: Post | Server.DAL.DataContext.OnModelCreating
2023-04-14 16:10:52.6526 | 0 | INFO | Server.DAL.DataContext | DataContext: validated data!  | url: https://localhost/api/flights | action: Post | Server.DAL.DataContext.OnModelCreating
2023-04-14 16:10:55.2557 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Legs list found and returned!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.GetLegsAsync
2023-04-14 16:10:55.3127 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Legs Loaded!  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService..ctor
2023-04-14 16:10:55.3145 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Clearing legs...  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.ClearLegs
2023-04-14 16:10:55.3145 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Legs cleared!  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.ClearLegs
2023-04-14 16:10:55.3145 | 0 | DEBUG | Server.Controllers.FlightsController | NLog injected into FlightsController  | url: https://localhost/api/flights | action: Post | Server.Controllers.FlightsController..ctor
2023-04-14 16:10:55.4095 | 0 | INFO | Server.Controllers.FlightsController | FlightsController - POST: Got new flight! - cc328fc6 - Elimelech Airlines - 123  | url: https://localhost/api/flights | action: Post | Server.Controllers.FlightsController.Post
2023-04-14 16:10:55.4095 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to add new flight (cc328fc6-a947-4cf4-b3f9-0fedcb4468e9) to database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddFlightAsync
2023-04-14 16:10:55.9405 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Flight (cc328fc6-a947-4cf4-b3f9-0fedcb4468e9) added!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddFlightAsync
2023-04-14 16:10:55.9405 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Flight number: cc328fc6 (id: 2) - Flight brand: Elimelech Airlines - Passengers count: 123 - Is-Departing: False - Is now in leg: Air - Waiting: 0 seconds to cross  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.MoveToNextLeg
2023-04-14 16:10:55.9555 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (First) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:56.0493 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (First) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:56.0493 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Air) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:56.1172 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Air) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:56.1172 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update legs in database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:10:56.1310 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Legs updated in database!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:10:56.1310 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to add new log to database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:10:56.1469 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Log added!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:10:56.1577 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Sending new flight log to clients...  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:10:56.1577 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Flight log sent!  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:10:56.1577 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Flight number: cc328fc6 (id: 2) - Flight brand: Elimelech Airlines - Passengers count: 123 - Is-Departing: False - Is now in leg: First - Waiting: 1 seconds to cross  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.MoveToNextLeg
2023-04-14 16:10:57.1742 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Second) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:57.1742 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Second) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:57.1742 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (First) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:57.1742 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (First) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:57.1742 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update legs in database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:10:57.2406 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Legs updated in database!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:10:57.2406 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to add new log to database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:10:57.2406 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Log added!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:10:57.2406 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Sending new flight log to clients...  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:10:57.2535 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Flight log sent!  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:10:57.2535 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Flight number: cc328fc6 (id: 2) - Flight brand: Elimelech Airlines - Passengers count: 123 - Is-Departing: False - Is now in leg: Second - Waiting: 2 seconds to cross  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.MoveToNextLeg
2023-04-14 16:10:59.2705 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Third) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:59.2705 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Third) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:10:59.2705 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Second) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
